INFO 2024-11-25 03:43:41,745 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-25 03:43:41,747 autoreload Waiting for apps ready_event.
DEBUG 2024-11-25 03:43:41,830 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-11-25 03:43:41,871 autoreload Watching dir C:\Python312\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-11-25 03:43:41,873 autoreload Watching dir C:\Users\Brix Daomilas\Desktop\upps_web\UPPS-WEBSITE\server\my_upps_project\locale with glob **/*.mo.
DEBUG 2024-11-25 03:43:41,874 autoreload Watching dir C:\Users\Brix Daomilas\Desktop\upps_web\UPPS-WEBSITE\server\my_upps_project\core\locale with glob **/*.mo.
DEBUG 2024-11-25 03:43:41,874 autoreload Watching dir C:\Users\Brix Daomilas\Desktop\upps_web\UPPS-WEBSITE\server\my_upps_project\api\locale with glob **/*.mo.
DEBUG 2024-11-25 03:43:41,876 autoreload Watching dir C:\Python312\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-11-25 03:43:41,877 autoreload Watching dir C:\Python312\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-11-25 03:43:41,946 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-11-25 03:43:41,950 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-11-25 03:43:42,047 autoreload File C:\Python312\Lib\site-packages\PyPDF2\_reader.py first seen with mtime 1732432751.2540147
DEBUG 2024-11-25 03:43:42,048 autoreload File C:\Python312\Lib\logging\__init__.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,048 autoreload File C:\Python312\Lib\re\_casefix.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,048 autoreload File C:\Python312\Lib\enum.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,049 autoreload File C:\Python312\Lib\wsgiref\util.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,049 autoreload File C:\Python312\Lib\xml\dom\xmlbuilder.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,049 autoreload File C:\Python312\Lib\site-packages\django\core\mail\utils.py first seen with mtime 1727866487.8557224
DEBUG 2024-11-25 03:43:42,050 autoreload File C:\Python312\Lib\base64.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,050 autoreload File C:\Python312\Lib\textwrap.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,050 autoreload File C:\Python312\DLLs\_zoneinfo.pyd first seen with mtime 1707282652.0
DEBUG 2024-11-25 03:43:42,050 autoreload File C:\Python312\Lib\site-packages\django\core\cache\backends\base.py first seen with mtime 1727866487.8265574
DEBUG 2024-11-25 03:43:42,050 autoreload File C:\Python312\Lib\http\__init__.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,051 autoreload File C:\Python312\Lib\site-packages\django\core\files\base.py first seen with mtime 1727866487.8415647
DEBUG 2024-11-25 03:43:42,051 autoreload File C:\Python312\Lib\asyncio\windows_utils.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,051 autoreload File C:\Python312\Lib\site-packages\django\contrib\staticfiles\management\commands\__init__.py first seen with mtime 1727866487.8151631
DEBUG 2024-11-25 03:43:42,051 autoreload File C:\Python312\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1727866334.4288208
DEBUG 2024-11-25 03:43:42,051 autoreload File C:\Python312\Lib\site-packages\django\db\models\query_utils.py first seen with mtime 1727866487.9900093
DEBUG 2024-11-25 03:43:42,051 autoreload File C:\Python312\Lib\site-packages\django\utils\log.py first seen with mtime 1727866488.1403792
DEBUG 2024-11-25 03:43:42,052 autoreload File C:\Python312\Lib\encodings\cp1252.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,052 autoreload File C:\Python312\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1727866488.0203638
DEBUG 2024-11-25 03:43:42,052 autoreload File C:\Python312\Lib\site-packages\django\utils\inspect.py first seen with mtime 1727866488.1383712
DEBUG 2024-11-25 03:43:42,052 autoreload File C:\Python312\Lib\site-packages\django\contrib\sites\requests.py first seen with mtime 1727866487.6624122
DEBUG 2024-11-25 03:43:42,053 autoreload File C:\Python312\Lib\mimetypes.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,053 autoreload File C:\Python312\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1727866487.825235
DEBUG 2024-11-25 03:43:42,053 autoreload File C:\Python312\Lib\site-packages\rest_framework\validators.py first seen with mtime 1727866912.2810116
DEBUG 2024-11-25 03:43:42,054 autoreload File C:\Python312\Lib\zoneinfo\__init__.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,054 autoreload File C:\Python312\Lib\email\header.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,054 autoreload File C:\Python312\Lib\site-packages\django\contrib\contenttypes\checks.py first seen with mtime 1727866486.50344
DEBUG 2024-11-25 03:43:42,054 autoreload File C:\Python312\Lib\site-packages\django\__init__.py first seen with mtime 1727866485.462321
DEBUG 2024-11-25 03:43:42,054 autoreload File C:\Python312\Lib\string.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,055 autoreload File C:\Python312\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1727866334.43353
DEBUG 2024-11-25 03:43:42,055 autoreload File C:\Python312\Lib\site-packages\rest_framework\response.py first seen with mtime 1727866912.270005
DEBUG 2024-11-25 03:43:42,055 autoreload File C:\Python312\Lib\site-packages\django\db\models\fields\generated.py first seen with mtime 1727866487.9984057
DEBUG 2024-11-25 03:43:42,055 autoreload File C:\Python312\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1727866488.1453817
DEBUG 2024-11-25 03:43:42,056 autoreload File C:\Python312\Lib\copyreg.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,056 autoreload File C:\Python312\Lib\asyncio\subprocess.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,056 autoreload File C:\Python312\Lib\site-packages\django\http\multipartparser.py first seen with mtime 1727866488.0820515
DEBUG 2024-11-25 03:43:42,057 autoreload File C:\Python312\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1727866487.8415647
DEBUG 2024-11-25 03:43:42,057 autoreload File C:\Python312\Lib\site-packages\django\utils\text.py first seen with mtime 1727866488.1453817
DEBUG 2024-11-25 03:43:42,057 autoreload File C:\Users\Brix Daomilas\Desktop\upps_web\UPPS-WEBSITE\server\my_upps_project\api\declinemessage.py first seen with mtime 1732351497.4036648
DEBUG 2024-11-25 03:43:42,057 autoreload File C:\Python312\Lib\site-packages\PyPDF2\generic\_outline.py first seen with mtime 1732432751.2746546
DEBUG 2024-11-25 03:43:42,058 autoreload File C:\Python312\Lib\site-packages\django\contrib\admin\utils.py first seen with mtime 1727866485.7325559
DEBUG 2024-11-25 03:43:42,058 autoreload File C:\Python312\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1727866334.4268198
DEBUG 2024-11-25 03:43:42,058 autoreload File C:\Python312\Lib\site-packages\django\contrib\sites\__init__.py first seen with mtime 1727866487.6584136
DEBUG 2024-11-25 03:43:42,059 autoreload File C:\Python312\Lib\site-packages\django\views\csrf.py first seen with mtime 1727866488.1569667
DEBUG 2024-11-25 03:43:42,060 autoreload File C:\Users\Brix Daomilas\Desktop\upps_web\UPPS-WEBSITE\server\my_upps_project\api\apps.py first seen with mtime 1727866732.0960462
DEBUG 2024-11-25 03:43:42,060 autoreload File C:\Python312\Lib\site-packages\django\contrib\contenttypes\apps.py first seen with mtime 1727866486.50344
DEBUG 2024-11-25 03:43:42,060 autoreload File C:\Users\Brix Daomilas\Desktop\upps_web\UPPS-WEBSITE\server\my_upps_project\manage.py first seen with mtime 1727865778.7445655
DEBUG 2024-11-25 03:43:42,060 autoreload File C:\Python312\Lib\email\headerregistry.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,061 autoreload File C:\Python312\Lib\site-packages\django\core\files\storage\filesystem.py first seen with mtime 1727866487.8475664
DEBUG 2024-11-25 03:43:42,061 autoreload File C:\Python312\Lib\token.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,061 autoreload File C:\Python312\Lib\site-packages\django\utils\decorators.py first seen with mtime 1727866488.1320198
DEBUG 2024-11-25 03:43:42,061 autoreload File C:\Python312\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1727866488.1682796
DEBUG 2024-11-25 03:43:42,062 autoreload File C:\Python312\Lib\contextlib.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,062 autoreload File C:\Python312\Lib\site-packages\django\db\models\enums.py first seen with mtime 1727866487.9807143
DEBUG 2024-11-25 03:43:42,062 autoreload File C:\Python312\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1727866488.018364
DEBUG 2024-11-25 03:43:42,062 autoreload File C:\Python312\Lib\site-packages\django\core\__init__.py first seen with mtime 1727866487.8202171
DEBUG 2024-11-25 03:43:42,063 autoreload File C:\Users\Brix Daomilas\Desktop\upps_web\UPPS-WEBSITE\server\my_upps_project\core\__init__.py first seen with mtime 1730361828.6984785
DEBUG 2024-11-25 03:43:42,063 autoreload File C:\Python312\Lib\site-packages\rest_framework\mixins.py first seen with mtime 1727866912.2624607
DEBUG 2024-11-25 03:43:42,063 autoreload File C:\Python312\Lib\site-packages\django\views\static.py first seen with mtime 1727866488.1590357
DEBUG 2024-11-25 03:43:42,063 autoreload File C:\Python312\Lib\site-packages\django\contrib\auth\decorators.py first seen with mtime 1727866486.3432405
